"country","count"
"Australia",35
"France",35
"Greece",35
"Italy",35
"Switzerland",35
"UK",35
"USA",35
"Austria",34
"Canada",34
"Denmark",34
"Hungary",34
"Norway",34
"Sweden",34
"Belgium",33
"Czech Republic",33
"Netherlands",33
"Finland",32
"Germany",32
"Argentina",31
"New Zealand",30
